playerID,teams
ainsmed01,"['WS1', 'DET', 'SLN', 'BRO', 'NY1']"
ainswku01,"['SFN', 'BAL']"
aitchra01,['BRO']
aitonge01,['SLA']
akejo01,['BL2']
akerfda01,"['OAK', 'CLE', 'TEX', 'PHI']"
akerja01,"['KC1', 'OAK', 'SE1', 'NYA', 'CHN', 'ATL', 'NYN']"
akersbi01,"['DET', 'BSN']"
akersje01,['WS1']
akinke01,['BAL']
akiyash01,['CIN']
alanirj01,"['SEA', 'CIN']"
albagi01,['SLN']
albaljo01,"['WAS', 'NYA', 'ARI']"
albanjo01,['WS1']
alberan01,"['MIN', 'TOR', 'SEA']"
alberbu01,['TOR']
albercy01,['SLN']
albergu01,"['PT1', 'WSU', 'CL3', 'ML3']"
alberha01,"['TEX', 'BAL', 'KCA', 'LAN']"
alberjo01,['TEX']
alberma01,"['HOU', 'BAL', 'BOS', 'ARI', 'CLE', 'CHA', 'WAS', 'MIL']"
albieoz01,['ATL']
albosed01,"['BRO', 'PIT']"
albreed01,['SLA']
albrija01,['PHI']
albural01,"['DET', 'LAA', 'KCA', 'CHA']"
alburvi01,['MIN']
alcaljo01,['MIN']
alcalsa01,"['CIN', 'MON']"
alcanar01,"['CHN', 'OAK', 'CIN']"
alcanis01,"['BOS', 'MIL']"
alcanra01,['OAK']
alcansa01,"['SLN', 'MIA']"
alcanse01,"['DET', 'CHN', 'ARI', 'SDN']"
alcanvi01,['DET']
alcarlu01,"['LAN', 'KCA']"
alcocsc01,['CHA']
alderda01,['CHN']
aldremi01,"['SFN', 'MON', 'SDN', 'CLE', 'OAK', 'CAL', 'NYA']"
aldresc01,"['DET', 'COL', 'MON', 'MIN', 'TBA', 'PHI']"
aldrico01,"['ATL', 'LAA']"
aldrija01,"['ML4', 'ATL', 'BAL']"
aldrivi01,"['CHN', 'PIT', 'NY1']"
alenoch01,['CIN']
alexabo01,"['BAL', 'CLE']"
alexada01,"['DET', 'BOS']"
alexado01,"['LAN', 'BAL', 'NYA', 'TEX', 'ATL', 'SFN', 'TOR', 'DET']"
alexaga01,"['SFN', 'OAK', 'CLE', 'PIT']"
alexage01,['TEX']
alexahu01,['CLE']
alexaja01,['MIL']
alexama01,"['CHN', 'OAK', 'PIT']"
alexama02,"['BAL', 'NYN', 'CHN', 'BOS', 'TEX', 'SDN']"
alexani01,"['KCU', 'SL4']"
alexape01,"['PHI', 'CHN', 'SLN']"
alexasc01,"['KCA', 'LAN', 'SFN']"
alexaty01,['DET']
alexawa01,"['SLA', 'NYA']"
alexyaj01,['TEX']
alfarja01,['HOU']
alfarjo01,"['PHI', 'MIA', 'SDN']"
alfonan01,"['FLO', 'CHN', 'ATL', 'TEX', 'PHI']"
alfoned01,"['NYN', 'SFN', 'LAA', 'TOR']"
alfonel01,"['SFN', 'SDN', 'SEA', 'COL']"
alforan01,"['TOR', 'PIT']"
alicelu01,"['SLN', 'BOS', 'ANA', 'TEX', 'KCA']"
allanan01,"['CLE', 'DET', 'ML4', 'SFN', 'CAL']"
allarbr01,"['TEX', 'SEA']"
allarko01,"['ATL', 'TEX']"
alldrca01,['PIT']
allenau01,"['SDN', 'OAK']"
allenbe01,"['MIN', 'WS2', 'NYA', 'MON']"
allenbo01,"['PHI', 'BSN', 'CIN']"
allenbo02,['PHA']
allenbo03,['PHI']
allenbo04,['CLE']
allenbr01,"['ARI', 'OAK', 'TBA']"
allench01,"['MIN', 'CLE', 'FLO', 'TEX']"
allenco01,"['CLE', 'LAA']"
allendi01,"['PHI', 'SLN', 'LAN', 'CHA', 'OAK']"
allendu01,"['SDN', 'DET']"
allenet01,"['CIN', 'NY1', 'SLN', 'PHI', 'CHN', 'SLA']"
allenfr01,"['BRO', 'PTF', 'BSN']"
allenga01,"['BOS', 'TOR']"
allengr01,"['CLE', 'SDN', 'NYA', 'PIT']"
allenha01,['MID']
allenha02,"['WS2', 'ML4', 'CHA']"
allenhe01,['PHI']
allenho01,['BRO']
allenja01,"['SR1', 'CL2']"
allenja02,['SEA']
allenje01,"['PIT', 'KCA', 'NYN']"
allenjo01,['BLF']
allenjo02,"['NYA', 'CLE', 'SLA', 'BRO', 'NY1']"
allenki01,['SEA']
allenll01,"['CAL', 'TEX', 'CHA']"
allenlo01,"['SDN', 'CLE', 'BAL']"
allenlu01,"['LAN', 'COL']"
allenmy01,"['NY1', 'BSN', 'CL3', 'KC2']"
allenne01,"['NYN', 'SLN', 'NYA', 'CHA', 'CLE']"
allenni01,"['BUF', 'CHN', 'CIN']"
allenni02,['OAK']
allenpe01,['CL4']
allenro01,['SLN']
allenro02,"['SEA', 'DET', 'CLE']"
allensl01,['SLA']
alleyge01,['PIT']
allgeni01,['TOR']
alliebo01,['CAL']
alliega01,['PIT']
allisan01,['BR1']
allisar01,"['CL1', 'ELI', 'WS6', 'HR1', 'LS1']"
allisbi01,['BR1']
allisbo01,"['WS1', 'MIN']"
allisda01,['OAK']
